chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
20154,120-32-1,Clorophene,3336,1451,311,34,20,14
31864,1763-23-1,Perfluorooctanesulfonic acid,2739,779,109,34,20,14
34695,8018-01-7,Mancozeb,2544,723,273,34,24,10
20182,80-05-7,Bisphenol A,2843,729,279,26,17,9
32498,3380-34-5,Triclosan,2513,986,268,37,19,18
32520,131860-33-8,Azoxystrobin,1978,653,159,32,18,14
35180,584-79-2,Allethrin,1858,706,87,33,16,17
21781,84-74-2,"Dibutyl 1,2-benzenedicarboxylate",1727,194,16,18,6,12
32329,741-58-2,Bensulide,1510,590,169,32,17,15
32493,55219-65-3,Triadimenol,1838,302,133,20,11,9
31865,335-67-1,Perfluorooctanoic acid,1338,139,139,19,19,0
190949,375-80-4,"1,6-Diiodoperfluorohexane",854,763,21,15,6,9
184723,307-29-9,"1H,1H-Perfluorooctylamine",849,16,16,5,5,0
32646,4151-50-2,N-Ethylperfluorooctane sulfonamide,1212,421,68,26,13,13
32605,51338-27-3,(+-)-Diclofop-methyl,1216,119,119,22,22,0
34868,94125-34-5,Prosulfuron,796,41,41,10,10,0
31863,375-95-1,Perfluorononanoic acid,1183,399,35,33,12,21
20465,56-53-1,Diethylstilbestrol,1597,644,323,35,23,12
22361,50471-44-8,Vinclozolin,1521,148,57,16,11,5
38939,754-91-6,Perfluorooctanesulfonamide,1170,605,116,35,23,12
37706,2795-39-3,Potassium perfluorooctanesulfonate,1163,265,42,29,13,16
20827,72-43-5,Methoxychlor,1257,315,108,33,14,19
31860,335-76-2,Perfluorodecanoic acid,1165,510,59,28,15,13
24238,19044-88-3,Oryzalin,1642,712,87,35,11,24
37303,375-85-9,Perfluoroheptanoic acid,1139,66,66,13,13,0
28038,55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,1483,575,123,29,17,12
20576,57-63-6,17alpha-Ethinylestradiol,1766,589,252,22,12,10
34187,10540-29-1,Tamoxifen,1432,536,158,32,19,13
31862,307-24-4,Perfluorohexanoic acid,1076,26,26,11,11,0
47553,2058-94-8,Perfluoroundecanoic acid,1108,377,180,24,16,8
44572,647-42-7,Fluorotelomer alcohol 6:2,1048,121,8,14,5,9
20573,50-28-2,17beta-Estradiol,1513,401,189,21,11,10
29904,678-39-7,Fluorotelomer alcohol 8:2,1063,344,6,14,5,9
37708,3825-26-1,Ammonium perfluorooctanoate,1044,87,20,17,10,7
47429,2392-39-4,Dexamethasone sodium phosphate,1398,166,166,15,15,0
47558,2144-53-8,2-(Perfluorohexyl)ethyl methacrylate,1045,31,31,11,11,0
24163,330-55-2,Linuron,1420,187,52,26,10,16
20112,1912-24-9,Atrazine,1347,74,74,16,16,0
24091,759-94-4,S-Ethyl dipropylthiocarbamate,1313,21,21,9,9,0
20822,59-05-2,Methotrexate,1265,184,32,21,6,15
37709,3871-99-6,Potassium perfluorohexanesulfonate,997,68,68,20,20,0
22370,57-83-0,Progesterone,1384,444,138,33,17,16
20770,143-50-0,Kepone,1385,688,249,38,22,16
29055,84852-15-3,"4-Nonylphenol, branched",1473,580,179,28,20,8
44969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),575,73,73,11,11,0
880215,13252-13-6,Perfluoro-2-methyl-3-oxahexanoic acid,567,12,12,5,5,0
400078,3834-42-2,(Heptafluoropropyl)trimethylsilane,567,6,6,4,4,0
22536,599-64-4,4-Cumylphenol,1324,475,99,24,10,14
20209,94-26-8,Butylparaben,1535,261,44,21,8,13
22360,140-66-9,"4-(1,1,3,3-Tetramethylbutyl)phenol",1304,477,189,28,21,7
22442,77-40-7,Bisphenol B,1323,414,168,21,16,5
379925,52447-23-1,Perfluorononanoyl chloride,547,275,19,14,9,5
565479,13973-14-3,8H-Perfluorooctanoic acid,544,50,50,11,11,0
880131,355-93-1,"1H,1H,5H-Perfluoropentyl methacrylate",544,26,26,9,9,0
382154,52447-22-0,Perfluoroheptanoyl chloride,544,34,34,12,12,0
190948,375-50-8,"Perfluoro-1,4-diiodobutane",542,349,8,15,4,11
380837,151772-59-7,"Perfluoro-3,6,9-trioxadecanoic acid",541,35,35,8,8,0
59829,335-66-0,Perfluorooctanoyl fluoride,541,47,47,10,10,0
379917,27854-30-4,3-(Perfluorohexyl)propanoic acid,540,48,48,10,10,0
187142,335-64-8,Pentadecafluorooctanoyl chloride,540,50,50,10,10,0
379947,34451-26-8,2-(Perfluorohexyl)ethanethiol,540,12,12,5,5,0
22345,789-02-6,"o,p'-DDT",1299,429,145,29,17,12
379835,423-49-4,"1H,1H-Perfluoroheptylamine",539,15,15,5,5,0
335129,918-22-9,"1,6-Dibromododecafluorohexane",539,9,9,4,4,0
379930,355-47-5,"1H,1H-Perfluorononylamine",539,10,10,4,4,0
375114,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",535,339,114,17,11,6
379295,77953-71-0,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",531,119,19,14,9,5
23980,64902-72-3,Chlorsulfuron,794,13,13,7,7,0
22308,446-72-0,Genistein,1597,400,123,20,12,8
60332,559-94-4,(Perfluorobutyryl)-2-thenoylmethane,528,301,44,14,11,3
382104,865-79-2,9-Chloro-perfluorononanoic acid,528,277,26,15,7,8
20374,72-55-9,"p,p'-DDE",1306,357,81,22,14,8
378880,74427-22-8,"2,2-Difluoroethyl triflate",524,16,16,7,7,0
23902,56-55-3,Benz(a)anthracene,1255,217,36,31,8,23
627108,80220-63-9,((Perfluorooctyl)ethyl)phosphonic acid,518,86,37,13,7,6
382063,151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid",515,24,24,9,9,0
380797,147492-57-7,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",515,181,8,14,4,10
47566,355-43-1,Perfluoro-1-iodohexane,513,37,37,8,8,0
59916,375-22-4,Perfluorobutanoic acid,513,8,8,5,5,0
60985,678-77-3,Hexafluoroglutaryl chloride,512,14,14,5,5,0
59879,355-80-6,"1H,1H,5H-Perfluoropentanol",511,14,14,5,5,0
59914,375-01-9,3:1 Fluorotelomer alcohol,511,7,7,3,3,0
874028,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",508,31,31,10,10,0
20119,446-86-6,Azathioprine,1197,236,34,27,15,12
892417,679-12-9,4H-Perfluorobutanoic acid,506,8,8,6,6,0
442840,329710-76-1,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,506,4,4,3,3,0
170109,1763-28-6,"3,3-Bis(trifluoromethyl)-2-propenoic acid",506,90,22,11,6,5
395037,58244-27-2,tris(Trifluoroethoxy)methane,505,1,1,1,1,0
880134,374-40-3,1-Pentafluoroethylethanol,505,4,4,2,2,0
381992,883498-76-8,"Bis(1H,1H-perfluoropropyl)amine",505,12,12,6,6,0
379269,679-02-7,3-(Perfluoropropyl)propanol,505,2,2,2,2,0
377826,355-27-1,"1H,1H-Perfluoropentylamine",505,5,5,4,4,0
62122,2043-47-2,Fluorotelomer alcohol 4:2,505,13,13,6,6,0
24523,63-05-8,"4-Androstene-3,17-dione",1619,249,120,22,12,10
34566,155569-91-8,Emamectin benzoate,932,574,166,36,19,17
22528,120-47-8,Ethylparaben,1246,59,59,7,7,0
47578,2043-55-2,"1H,1H,2H,2H-Perfluorohexyl iodide",760,29,29,8,8,0
382621,25600-66-2,7:3 Fluorotelomer alcohol,496,332,7,14,4,10
204489,559-14-8,Perfluorooct-1-ene,494,11,11,6,6,0
174941,20825-07-4,"3H,3H-Perfluoro-2,4-hexanedione",494,24,24,7,7,0
65586,13695-31-3,(Perfluoropropyl)methyl methacrylate,494,6,6,4,4,0
59794,307-34-6,Perfluorooctane,492,1,1,1,1,0
59920,375-92-8,Perfluoroheptanesulfonic acid,491,66,66,11,11,0
892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",489,8,8,4,4,0
27140,307-35-7,Perfluorooctanesulfonyl fluoride,489,8,8,6,6,0
67331,27619-97-2,6:2 Fluorotelomer sulfonic acid,488,18,18,8,8,0
74915,51851-37-7,Triethoxy((perfluorohexyl)ethyl)silane,487,12,12,5,5,0
276659,65294-16-8,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",487,7,7,5,5,0
880230,19932-26-4,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",487,12,12,6,6,0
59919,375-88-2,1-Bromopentadecafluoroheptane,486,6,6,5,5,0
74616,21652-58-4,"1H,1H,2H-Perfluoro-1-decene",486,4,4,2,2,0
59970,422-64-0,Perfluoropropanoic acid,486,10,10,4,4,0
30030,375-73-5,Perfluorobutanesulfonic acid,488,15,15,5,5,0
108559,62037-80-3,Ammonium perfluoro-2-methyl-3-oxahexanoate,460,47,21,8,4,4
892443,2806-15-7,Sodium perfluorodecanesulfonate,460,112,19,10,5,5
23322,84371-65-3,Mifepristone,1419,609,228,35,21,14
20791,121-75-5,Malathion,1175,176,101,17,14,3
375107,423-65-4,11:1 Fluorotelomer alcohol,450,69,17,9,5,4
