family,margin,n_chemicals_active,n_chemicals_selective,jaccard_active_vs_selective_chemset,pct_active_chems_retained
cell cycle,1x,5261,3886,0.738642843565862,73.8642843565862
cell cycle,3x,5261,3139,0.596654628397643,59.6654628397643
cell cycle,10x,5261,2767,0.5259456377114617,52.59456377114617
nuclear receptor,1x,5882,4879,0.8294797687861272,82.94797687861272
nuclear receptor,3x,5882,4304,0.731723903434206,73.1723903434206
nuclear receptor,10x,5882,3833,0.6516490989459368,65.16490989459368
cyp,1x,6332,5256,0.8300694883133292,83.0069488313329
cyp,3x,6332,4738,0.7482627921667719,74.8262792166772
cyp,10x,6332,4297,0.6786165508528111,67.86165508528111
neurodevelopment,1x,349,315,0.9025787965616046,90.25787965616045
neurodevelopment,3x,349,283,0.8108882521489972,81.08882521489971
neurodevelopment,10x,349,226,0.6475644699140402,64.756446991404
steroid hormone,1x,423,336,0.7943262411347518,79.43262411347517
steroid hormone,3x,423,272,0.6430260047281324,64.30260047281324
steroid hormone,10x,423,227,0.5366430260047281,53.664302600472816
apoptosis,1x,409,26,0.06356968215158924,6.356968215158925
apoptosis,3x,409,17,0.04156479217603912,4.156479217603912
apoptosis,10x,409,5,0.012224938875305624,1.2224938875305624
cytokine,1x,1305,1146,0.8781609195402299,87.816091954023
cytokine,3x,1305,887,0.6796934865900384,67.96934865900383
cytokine,10x,1305,788,0.6038314176245211,60.383141762452105
gpcr,1x,1613,972,0.6026038437693738,60.26038437693738
gpcr,3x,1613,726,0.4500929944203348,45.00929944203348
gpcr,10x,1613,595,0.3688778673279603,36.88778673279603
kinase,1x,691,373,0.5397973950795948,53.97973950795948
kinase,3x,691,275,0.3979739507959479,39.79739507959479
kinase,10x,691,235,0.34008683068017365,34.00868306801737
protease,1x,1071,768,0.7170868347338936,71.70868347338936
protease,3x,1071,534,0.49859943977591037,49.85994397759104
protease,10x,1071,441,0.4117647058823529,41.1764705882353
