family,is_burst_related,n_active_estimated_bound,n_active_default_bound,pct_actives_from_default_bound,n_separated_1x_estimated_bound,pct_separated_1x_estimated_bound,n_separated_3x_estimated_bound,pct_separated_3x_estimated_bound,n_separated_10x_estimated_bound,pct_separated_10x_estimated_bound
cell cycle,True,86856,6451,6.913736375620264,7964,9.16919959473151,2965,3.413696232845169,1284,1.4783089251174357
nuclear receptor,False,48668,12968,21.039652151340125,13467,27.671159694254953,7704,15.829703295800115,4604,9.46001479411523
dna binding,False,24856,4965,16.649341068374635,4023,16.18522690698423,1503,6.046829739298358,596,2.3978113936272933
cytokine,False,19857,2075,9.461061462702899,4282,21.564183914992196,1319,6.64249383089087,685,3.4496651055043563
cyp,False,17989,10756,37.4186815098278,6064,33.709489132247484,2993,16.63794541108455,1370,7.615765189838235
ion channel (panel 2),False,13864,3104,18.293257897218293,2922,21.076168493941143,1415,10.206289671090595,727,5.243796884016157
ion channel (panel 1),False,13341,875,6.155036578503095,1075,8.057866726632186,482,3.6129225695225244,226,1.6940259350873248
cell adhesion molecules,False,9056,683,7.013040353219016,2005,22.14001766784452,550,6.073321554770318,219,2.418286219081272
gpcr,False,6304,666,9.555236728837876,2115,33.5501269035533,859,13.626269035532994,399,6.3293147208121825
cell morphology,True,5138,272,5.027726432532347,758,14.752822109770339,174,3.386531724406384,76,1.479174776177501
protease,False,4238,588,12.184003315375051,1123,26.49834827748938,340,8.022652194431336,157,3.704577630957999
transporter,False,4093,818,16.656485440847078,1407,34.37576349865624,676,16.51600293183484,278,6.7920840459320795
neurodevelopment,False,3963,1464,26.97622996130459,2277,57.45647236941711,1317,33.23239969719909,594,14.988644965934897
esterase,False,2160,988,31.385006353240154,496,22.962962962962962,212,9.814814814814815,82,3.7962962962962963
zebrafish development,False,1906,371,16.29336846728151,652,34.20776495278069,305,16.002098635886675,133,6.977964323189926
neuroactivity,False,1805,290,13.842482100238664,977,54.12742382271468,516,28.587257617728532,290,16.066481994459835
growth factor,False,1765,222,11.17262204328133,314,17.790368271954673,113,6.402266288951841,49,2.776203966005666
mitochondria,False,1696,293,14.731020613373554,522,30.778301886792452,210,12.382075471698114,54,3.1839622641509435
ion channel,False,1586,309,16.306068601583114,521,32.849936948297604,252,15.889029003783103,103,6.494325346784363
oxidoreductase,False,1527,545,26.3030888030888,430,28.159790438768827,215,14.079895219384413,86,5.631958087753765
kinase,False,1503,267,15.084745762711865,433,28.80904856952761,218,14.504324683965402,124,8.250166333998669
steroid hormone,False,1375,583,29.775280898876403,746,54.25454545454546,455,33.09090909090909,223,16.21818181818182
growth factor receptor,False,1279,41,3.106060606060606,74,5.7857701329163405,20,1.563721657544957,8,0.6254886630179828
transferase,False,1165,184,13.63973313565604,207,17.76824034334764,80,6.866952789699571,29,2.4892703862660945
protease inhibitor,False,872,53,5.72972972972973,220,25.229357798165136,71,8.142201834862385,32,3.669724770642202
phosphatase,False,757,144,15.982241953385127,174,22.98546895640687,76,10.039630118890356,33,4.359313077939234
lyase,False,662,105,13.689700130378096,74,11.178247734138973,35,5.287009063444109,18,2.719033232628399
apoptosis,False,609,3,0.49019607843137253,29,4.761904761904762,15,2.4630541871921183,3,0.49261083743842365
hydrolase,False,605,242,28.571428571428573,137,22.644628099173552,50,8.264462809917354,13,2.1487603305785123
deiodinase,False,518,86,14.23841059602649,63,12.162162162162161,25,4.826254826254826,6,1.1583011583011582
misc protein,False,508,71,12.26252158894646,168,33.07086614173228,76,14.960629921259843,36,7.086614173228346
metabolite,False,408,156,27.659574468085108,170,41.666666666666664,90,22.058823529411764,39,9.558823529411764
cytokine receptor,False,339,42,11.023622047244094,41,12.094395280235988,19,5.6047197640118,13,3.8348082595870205
mutagenicity response,False,311,30,8.79765395894428,31,9.967845659163988,9,2.8938906752411575,6,1.9292604501607717
transcription factor,False,297,328,52.48,89,29.966329966329965,58,19.52861952861953,35,11.784511784511784
ligase,False,259,27,9.44055944055944,28,10.81081081081081,17,6.563706563706564,10,3.861003861003861
immunoglobulin,False,230,45,16.363636363636363,69,30.0,28,12.173913043478262,12,5.217391304347826
catalase,False,208,19,8.370044052863436,19,9.134615384615385,7,3.3653846153846154,2,0.9615384615384616
filaments,False,208,30,12.605042016806722,32,15.384615384615385,14,6.730769230769231,5,2.4038461538461537
apolipoprotein,False,186,24,11.428571428571429,22,11.827956989247312,11,5.913978494623656,7,3.763440860215054
microrna,False,182,9,4.712041884816754,14,7.6923076923076925,3,1.6483516483516483,1,0.5494505494505495
dehalogenase,False,121,13,9.701492537313433,1,0.8264462809917356,0,0.0,0,0.0
membrane protein,False,89,5,5.319148936170213,20,22.471910112359552,12,13.48314606741573,7,7.865168539325842
thyroid,False,53,4,7.017543859649122,7,13.20754716981132,2,3.7735849056603774,0,0.0
cardiomyocyte function,False,30,12,28.571428571428573,12,40.0,6,20.0,2,6.666666666666667
methyltransferase,False,10,6,37.5,5,50.0,5,50.0,1,10.0
stress response,False,2,0,0.0,2,100.0,2,100.0,1,50.0
enzyme,False,1,0,0.0,0,0.0,0,0.0,0,0.0
