chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
276659,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",default,15,5,5,0.3333333333333333,0.3333333333333333,0
382620,3-(Perfluoroheptyl)propanoic acid,default,17,10,10,0.5882352941176471,0.5882352941176471,0
892443,Sodium perfluorodecanesulfonate,estimated,13,10,5,0.7692307692307693,0.38461538461538464,5
31864,Perfluorooctanesulfonic acid,estimated,42,34,20,0.8095238095238095,0.47619047619047616,14
37303,Perfluoroheptanoic acid,default,38,13,13,0.34210526315789475,0.34210526315789475,0
663110,Perfluoro-4-isopropoxybutanoic acid,default,16,6,6,0.375,0.375,0
190950,6:1 Fluorotelomer alcohol,estimated,15,11,2,0.7333333333333333,0.13333333333333333,9
880230,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",default,15,6,6,0.4,0.4,0
892442,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",default,15,4,4,0.26666666666666666,0.26666666666666666,0
60985,Hexafluoroglutaryl chloride,default,16,5,5,0.3125,0.3125,0
31860,Perfluorodecanoic acid,estimated,41,28,15,0.6829268292682927,0.36585365853658536,13
868151,Perfluorotridecanoic acid,estimated,16,13,5,0.8125,0.3125,8
59799,"1H,1H-Perfluorooctyl acrylate",estimated,15,5,1,0.3333333333333333,0.06666666666666667,4
40150,Perfluorohexanesulfonic acid,default,15,9,9,0.6,0.6,0
47553,Perfluoroundecanoic acid,estimated,41,24,16,0.5853658536585366,0.3902439024390244,8
382621,7:3 Fluorotelomer alcohol,estimated,16,14,4,0.875,0.25,10
881157,"1-(Perfluorofluorooctyl)propane-2,3-diol",default,15,9,9,0.6,0.6,0
880413,"3-(Perfluorohexyl)-1,2-epoxypropane",default,15,2,2,0.13333333333333333,0.13333333333333333,0
371872,"1,8-Divinylperfluorooctane",default,14,4,4,0.2857142857142857,0.2857142857142857,0
59828,1-Iodopentadecafluoroheptane,estimated,14,7,2,0.5,0.14285714285714285,5
379901,(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate,default,14,5,5,0.35714285714285715,0.35714285714285715,0
880218,"1H,1H,2H-Perfluorocyclopentane",default,14,4,4,0.2857142857142857,0.2857142857142857,0
380390,"2,2,2-Trifluoroethyl perfluorobutanesulfonate",default,16,10,10,0.625,0.625,0
27831,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,estimated,16,9,6,0.5625,0.375,3
191136,Perfluoro-3-methoxypropanoic acid,default,16,3,3,0.1875,0.1875,0
47578,"1H,1H,2H,2H-Perfluorohexyl iodide",default,26,8,8,0.3076923076923077,0.3076923076923077,0
381151,Perfluorooctanamidine,estimated,16,14,4,0.875,0.25,10
400078,(Heptafluoropropyl)trimethylsilane,default,14,4,4,0.2857142857142857,0.2857142857142857,0
44969,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),default,16,11,11,0.6875,0.6875,0
62599,Perfluoropentanoic acid,default,15,4,4,0.26666666666666666,0.26666666666666666,0
379268,3:3 Fluorotelomer carboxylic acid,default,16,4,4,0.25,0.25,0
179883,2-(Perfluorohexyl)ethylphosphonic acid,default,16,7,7,0.4375,0.4375,0
65586,(Perfluoropropyl)methyl methacrylate,default,16,4,4,0.25,0.25,0
204489,Perfluorooct-1-ene,default,17,6,6,0.35294117647058826,0.35294117647058826,0
379781,Perfluorocyclohexanecarbonyl fluoride,default,16,3,3,0.1875,0.1875,0
74616,"1H,1H,2H-Perfluoro-1-decene",default,14,2,2,0.14285714285714285,0.14285714285714285,0
61881,"1-Iodo-1H,1H,2H,2H-perfluoroheptane",estimated,16,10,2,0.625,0.125,8
67331,6:2 Fluorotelomer sulfonic acid,default,15,8,8,0.5333333333333333,0.5333333333333333,0
627108,((Perfluorooctyl)ethyl)phosphonic acid,estimated,18,13,7,0.7222222222222222,0.3888888888888889,6
315130,Perfluoro-1-octanesulfonyl chloride,estimated,18,15,5,0.8333333333333334,0.2777777777777778,10
47566,Perfluoro-1-iodohexane,default,15,8,8,0.5333333333333333,0.5333333333333333,0
59919,1-Bromopentadecafluoroheptane,default,14,5,5,0.35714285714285715,0.35714285714285715,0
60332,(Perfluorobutyryl)-2-thenoylmethane,estimated,16,14,11,0.875,0.6875,3
27140,Perfluorooctanesulfonyl fluoride,default,16,6,6,0.375,0.375,0
194615,"1H,1H,9H-Perfluorononyl acrylate",estimated,16,13,5,0.8125,0.3125,8
74915,Triethoxy((perfluorohexyl)ethyl)silane,default,15,5,5,0.3333333333333333,0.3333333333333333,0
66215,(Heptafluorobutanoyl)pivaloylmethane,estimated,16,8,3,0.5,0.1875,5
195123,Perfluorooctanamide,default,16,5,5,0.3125,0.3125,0
59794,Perfluorooctane,default,15,1,1,0.06666666666666667,0.06666666666666667,0
192353,8:2 Fluorotelomer sulfonic acid,default,16,10,10,0.625,0.625,0
337446,2-(Perfluorooctyl)ethanthiol,default,16,5,5,0.3125,0.3125,0
