family,n_chemicals_active,n_chemicals_separated_1x,jaccard_1x,frac_retained_1x,n_chemicals_separated_3x,jaccard_3x,frac_retained_3x,n_chemicals_separated_10x,jaccard_10x,frac_retained_10x
cell cycle,2894,1521,0.5255701451278507,0.5255701451278507,775,0.2677954388389772,0.2677954388389772,432,0.1492743607463718,0.1492743607463718
nuclear receptor,2713,1710,0.6302985624769628,0.6302985624769628,1135,0.4183560633984519,0.4183560633984519,698,0.2572797640987836,0.2572797640987836
cyp,2609,1533,0.5875814488309697,0.5875814488309697,1015,0.38903794557301646,0.38903794557301646,579,0.22192410885396704,0.22192410885396704
cytokine,792,633,0.7992424242424242,0.7992424242424242,374,0.4722222222222222,0.4722222222222222,275,0.3472222222222222,0.3472222222222222
gpcr,1206,565,0.4684908789386401,0.4684908789386401,319,0.2645107794361526,0.2645107794361526,188,0.1558872305140962,0.1558872305140962
kinase,533,215,0.40337711069418386,0.40337711069418386,117,0.21951219512195122,0.21951219512195122,77,0.14446529080675422,0.14446529080675422
protease,743,440,0.5921938088829072,0.5921938088829072,206,0.2772543741588156,0.2772543741588156,115,0.15477792732166892,0.15477792732166892
neurodevelopment,196,162,0.826530612244898,0.826530612244898,132,0.673469387755102,0.673469387755102,77,0.39285714285714285,0.39285714285714285
steroid hormone,270,183,0.6777777777777778,0.6777777777777778,119,0.44074074074074077,0.44074074074074077,74,0.2740740740740741,0.2740740740740741
apoptosis,406,23,0.05665024630541872,0.05665024630541872,14,0.034482758620689655,0.034482758620689655,2,0.0049261083743842365,0.0049261083743842365
