family,is_control_family,n_tested_curves,n_active,n_selective,n_nonspecific,pct_active_of_tested,pct_selective_of_actives,pct_nonspecific_of_actives,rank_active,rank_selective
cell cycle,False,884886,93307,14402,78905,10.544522119233438,15.435069180232995,84.564930819767,1.0,3.0
nuclear receptor,False,617402,61636,26434,35202,9.983122827590451,42.8872736712311,57.1127263287689,2.0,1.0
dna binding,False,351221,29821,8988,20833,8.490665421486757,30.13983434492472,69.86016565507528,3.0,4.0
cyp,False,83244,28745,16820,11925,34.531017250492525,58.514524265089584,41.485475734910416,4.0,2.0
cytokine,False,99195,21932,6357,15575,22.10998538232774,28.98504468356739,71.0149553164326,5.0,5.0
ion channel (panel 2),False,374672,16968,6026,10942,4.528761156424819,35.51390853371051,64.48609146628948,6.0,6.0
ion channel (panel 1),False,384339,14216,1950,12266,3.6988179705936686,13.71693866066404,86.28306133933596,7.0,11.0
cell adhesion molecules,False,41955,9739,2688,7051,23.212966273388155,27.600369647807785,72.39963035219222,8.0,9.0
gpcr,False,112443,6970,2781,4189,6.198696228311233,39.89956958393113,60.10043041606887,9.0,8.0
neurodevelopment,False,17506,5427,3735,1692,31.000799725808296,68.82255389718077,31.177446102819236,10.0,7.0
cell morphology,False,29724,5410,1030,4380,18.20078051406271,19.038817005545287,80.96118299445472,11.0,16.0
transporter,False,17851,4911,2225,2686,27.511063805949245,45.30645489716962,54.69354510283038,12.0,10.0
protease,False,24279,4826,1711,3115,19.877260183697846,35.4537919602155,64.5462080397845,13.0,12.0
esterase,False,41951,3148,1484,1664,7.503992753450454,47.141041931385004,52.858958068614996,14.0,13.0
zebrafish development,False,25532,2277,1023,1254,8.918220272599092,44.927536231884055,55.072463768115945,15.0,17.0
neuroactivity,False,7875,2095,1267,828,26.603174603174605,60.47732696897375,39.52267303102625,16.0,15.0
oxidoreductase,False,7218,2072,975,1097,28.706012745912997,47.05598455598456,52.94401544401544,17.0,18.0
mitochondria,False,11312,1989,815,1174,17.583097595473834,40.975364504776266,59.024635495223734,18.0,20.0
growth factor,False,14829,1987,536,1451,13.399420055297053,26.975339708102666,73.02466029189733,19.0,22.0
steroid hormone,False,7475,1958,1329,629,26.193979933110366,67.87538304392237,32.12461695607763,20.0,14.0
ion channel,False,12523,1895,830,1065,15.13215683143017,43.79947229551451,56.20052770448549,21.0,19.0
kinase,False,11392,1770,700,1070,15.537219101123595,39.548022598870055,60.451977401129945,22.0,21.0
transferase,False,8259,1349,391,958,16.33369657343504,28.98443291326909,71.01556708673091,23.0,24.0
growth factor receptor,False,19334,1320,115,1205,6.827350781007551,8.712121212121213,91.28787878787878,24.0,32.0
protease inhibitor,False,5148,925,273,652,17.968142968142967,29.513513513513512,70.48648648648648,25.0,28.0
phosphatase,False,5336,901,318,583,16.885307346326837,35.294117647058826,64.70588235294117,26.0,27.0
hydrolase,False,20642,847,379,468,4.103284565449084,44.74616292798111,55.25383707201889,27.0,25.0
lyase,False,4292,767,179,588,17.870456663560113,23.33767926988266,76.66232073011734,28.0,30.0
transcription factor,False,1461,625,417,208,42.77891854893908,66.72,33.28,29.0,23.0
apoptosis,False,19334,612,32,580,3.1654080893762284,5.228758169934641,94.77124183006536,30.0,40.0
deiodinase,False,660,604,149,455,91.51515151515152,24.66887417218543,75.33112582781457,31.0,31.0
misc protein,False,2479,579,239,340,23.35619201290843,41.278065630397236,58.721934369602764,32.0,29.0
metabolite,False,1186,564,320,244,47.55480607082631,56.737588652482266,43.262411347517734,33.0,26.0
cytokine receptor,False,3234,381,83,298,11.781076066790353,21.78477690288714,78.21522309711285,34.0,34.0
mutagenicity response,False,2156,341,61,280,15.816326530612244,17.88856304985337,82.11143695014663,35.0,36.0
ligase,False,2156,286,55,231,13.26530612244898,19.23076923076923,80.76923076923077,36.0,37.0
immunoglobulin,False,767,275,114,161,35.853976531942635,41.45454545454545,58.54545454545455,37.0,33.0
filaments,False,1078,238,62,176,22.07792207792208,26.050420168067227,73.94957983193277,38.0,35.0
catalase,False,1078,227,38,189,21.05751391465677,16.740088105726873,83.25991189427313,39.0,39.0
apolipoprotein,False,1078,210,46,164,19.48051948051948,21.904761904761905,78.0952380952381,40.0,38.0
microrna,False,1078,191,23,168,17.71799628942486,12.041884816753926,87.95811518324608,41.0,43.0
dehalogenase,False,191,134,14,120,70.15706806282722,10.447761194029852,89.55223880597015,42.0,44.0
membrane protein,False,1081,94,25,69,8.695652173913043,26.595744680851062,73.40425531914893,43.0,41.0
thyroid,False,190,57,11,46,30.0,19.29824561403509,80.70175438596492,44.0,45.5
cardiomyocyte function,False,282,42,24,18,14.893617021276595,57.142857142857146,42.857142857142854,45.0,42.0
methyltransferase,False,63,16,11,5,25.396825396825395,68.75,31.25,46.0,45.5
stress response,False,6,2,2,0,33.333333333333336,100.0,0.0,47.0,47.0
enzyme,False,9667,1,0,1,0.010344470880314472,0.0,100.0,48.0,48.5
epigenetic enzyme,False,2,0,0,0,0.0,,,49.0,48.5
background measurement,True,226840,3943,1220,2723,1.7382295891377182,30.940907938118183,69.05909206188181,,
