chid,casn,chnm,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
47347,155990-20-8,SR271425,377,53,35,9,26
24882,66-81-9,Cycloheximide,419,35,34,8,26
22828,4291-63-8,Cladribine,191,14,29,4,25
47295,291305-06-1,UK-373911,298,13,33,8,25
48512,107071-66-9,Ro 23-7637,295,32,33,8,25
24238,19044-88-3,Oryzalin,712,87,35,11,24
23892,71751-41-2,Abamectin,468,98,37,13,24
32393,72490-01-8,Fenoxycarb,181,14,29,5,24
23902,56-55-3,Benz(a)anthracene,217,36,31,8,23
34590,161326-34-7,Fenamidone,210,31,33,10,23
47353,NOCAS_47353,SSR 241586 HCl,424,65,35,12,23
47358,439687-69-1,Nelivaptan,259,21,33,10,23
26214,101-20-2,Triclocarban,415,41,35,12,23
42121,110235-47-7,Mepanipyrim,125,8,26,3,23
48168,129299-90-7,Fabesetron hydrochloride,297,57,34,11,23
34186,52-01-7,Spironolactone,319,91,31,9,22
32390,60168-88-9,Fenarimol,334,82,33,11,22
25599,6317-18-6,Methylene bis(thiocyanate),472,62,36,14,22
32651,51707-55-2,Thidiazuron,154,18,29,7,22
20426,99-30-9,Dichloran,208,17,29,7,22
34580,26225-79-6,Ethofumesate,138,18,27,5,22
34401,69327-76-0,Buprofezin,233,33,32,10,22
24845,64-86-8,Colchicine,286,37,30,8,22
47337,1061517-62-1,PharmaGSID_47337,307,19,34,12,22
32004,13311-84-7,Flutamide,312,47,34,12,22
24081,145-73-3,Endothal,162,4,26,4,22
48174,174185-16-1,FR167356,213,32,32,10,22
48522,NOCAS_48522,HMR1171 trifluoroacetate (1:1),208,20,31,9,22
31863,375-95-1,Perfluorononanoic acid,399,35,33,12,21
21248,83-79-4,Rotenone,565,267,38,17,21
24276,2312-35-8,Propargite,413,78,32,11,21
24239,19666-30-9,Oxadiazon,263,45,30,9,21
47311,NOCAS_47311,GSK163929B,248,26,30,9,21
20634,51-21-8,5-Fluorouracil,170,8,23,2,21
26900,112-00-5,Dodecyltrimethylammonium chloride,399,62,34,13,21
47272,249296-43-3,CJ-013610,234,37,31,10,21
47271,676116-04-4,PD 0343701,372,80,36,15,21
47268,104795-68-8,CI-959,245,14,29,8,21
20283,95-83-0,"4-Chloro-1,2-diaminobenzene",262,54,33,12,21
47322,200940-23-4,SB243213A,189,27,30,9,21
22777,169590-42-5,Celecoxib,443,44,32,11,21
20523,51-28-5,"2,4-Dinitrophenol",188,13,30,9,21
48166,NOCAS_48166,PharmaGSID_48166,278,43,33,12,21
27403,1461-22-9,Tributyltin chloride,738,154,36,16,20
34625,361377-29-9,Fluoxastrobin,298,111,36,16,20
24827,69-09-0,Chlorpromazine hydrochloride,417,93,36,16,20
24241,42874-03-3,Oxyfluorfen,206,24,29,9,20
40363,83657-24-3,Diniconazole,314,66,32,12,20
32548,114369-43-6,"4-(4-Chlorophenyl)-2-phenyl-2-(1H-1,2,4-triazol-1-ylmethyl)butyronitrile",202,41,29,9,20
20347,56-72-4,Coumaphos,285,66,31,11,20
