family,is_control_family,n_tested_curves,n_active,n_selective,n_nonspecific,pct_active_of_tested,pct_selective_of_actives,pct_nonspecific_of_actives,rank_active,rank_selective
apoptosis,False,19334,612,32,580,3.1654080893762284,5.228758169934641,94.77124183006536,30.0,40.0
growth factor receptor,False,19334,1320,115,1205,6.827350781007551,8.712121212121213,91.28787878787878,24.0,32.0
dehalogenase,False,191,134,14,120,70.15706806282722,10.447761194029852,89.55223880597015,42.0,44.0
microrna,False,1078,191,23,168,17.71799628942486,12.041884816753926,87.95811518324608,41.0,43.0
ion channel (panel 1),False,384339,14216,1950,12266,3.6988179705936686,13.71693866066404,86.28306133933596,7.0,11.0
cell cycle,False,884886,93307,14402,78905,10.544522119233438,15.435069180232995,84.564930819767,1.0,3.0
catalase,False,1078,227,38,189,21.05751391465677,16.740088105726873,83.25991189427313,39.0,39.0
mutagenicity response,False,2156,341,61,280,15.816326530612244,17.88856304985337,82.11143695014663,35.0,36.0
cell morphology,False,29724,5410,1030,4380,18.20078051406271,19.038817005545287,80.96118299445472,11.0,16.0
ligase,False,2156,286,55,231,13.26530612244898,19.23076923076923,80.76923076923077,36.0,37.0
cytokine receptor,False,3234,381,83,298,11.781076066790353,21.78477690288714,78.21522309711285,34.0,34.0
apolipoprotein,False,1078,210,46,164,19.48051948051948,21.904761904761905,78.0952380952381,40.0,38.0
lyase,False,4292,767,179,588,17.870456663560113,23.33767926988266,76.66232073011734,28.0,30.0
deiodinase,False,660,604,149,455,91.51515151515152,24.66887417218543,75.33112582781457,31.0,31.0
filaments,False,1078,238,62,176,22.07792207792208,26.050420168067227,73.94957983193277,38.0,35.0
growth factor,False,14829,1987,536,1451,13.399420055297053,26.975339708102666,73.02466029189733,19.0,22.0
cell adhesion molecules,False,41955,9739,2688,7051,23.212966273388155,27.600369647807785,72.39963035219222,8.0,9.0
transferase,False,8259,1349,391,958,16.33369657343504,28.98443291326909,71.01556708673091,23.0,24.0
cytokine,False,99195,21932,6357,15575,22.10998538232774,28.98504468356739,71.0149553164326,5.0,5.0
protease inhibitor,False,5148,925,273,652,17.968142968142967,29.513513513513512,70.48648648648648,25.0,28.0
