family,is_control_family,n_tested_curves,n_active,n_selective,n_nonspecific,pct_active_of_tested,pct_selective_of_actives,pct_nonspecific_of_actives,rank_active,rank_selective
neurodevelopment,False,17506,5427,3735,1692,31.000799725808296,68.82255389718077,31.177446102819236,10.0,7.0
steroid hormone,False,7475,1958,1329,629,26.193979933110366,67.87538304392237,32.12461695607763,20.0,14.0
transcription factor,False,1461,625,417,208,42.77891854893908,66.72,33.28,29.0,23.0
neuroactivity,False,7875,2095,1267,828,26.603174603174605,60.47732696897375,39.52267303102625,16.0,15.0
cyp,False,83244,28745,16820,11925,34.531017250492525,58.514524265089584,41.485475734910416,4.0,2.0
metabolite,False,1186,564,320,244,47.55480607082631,56.737588652482266,43.262411347517734,33.0,26.0
esterase,False,41951,3148,1484,1664,7.503992753450454,47.141041931385004,52.858958068614996,14.0,13.0
oxidoreductase,False,7218,2072,975,1097,28.706012745912997,47.05598455598456,52.94401544401544,17.0,18.0
transporter,False,17851,4911,2225,2686,27.511063805949245,45.30645489716962,54.69354510283038,12.0,10.0
zebrafish development,False,25532,2277,1023,1254,8.918220272599092,44.927536231884055,55.072463768115945,15.0,17.0
hydrolase,False,20642,847,379,468,4.103284565449084,44.74616292798111,55.25383707201889,27.0,25.0
ion channel,False,12523,1895,830,1065,15.13215683143017,43.79947229551451,56.20052770448549,21.0,19.0
nuclear receptor,False,617402,61636,26434,35202,9.983122827590451,42.8872736712311,57.1127263287689,2.0,1.0
immunoglobulin,False,767,275,114,161,35.853976531942635,41.45454545454545,58.54545454545455,37.0,33.0
misc protein,False,2479,579,239,340,23.35619201290843,41.278065630397236,58.721934369602764,32.0,29.0
mitochondria,False,11312,1989,815,1174,17.583097595473834,40.975364504776266,59.024635495223734,18.0,20.0
gpcr,False,112443,6970,2781,4189,6.198696228311233,39.89956958393113,60.10043041606887,9.0,8.0
kinase,False,11392,1770,700,1070,15.537219101123595,39.548022598870055,60.451977401129945,22.0,21.0
ion channel (panel 2),False,374672,16968,6026,10942,4.528761156424819,35.51390853371051,64.48609146628948,6.0,6.0
protease,False,24279,4826,1711,3115,19.877260183697846,35.4537919602155,64.5462080397845,13.0,12.0
