family,n_active,n_selective_1x,pct_selective_1x,n_selective_3x,pct_selective_3x,n_selective_10x,pct_selective_10x,n_active_no_severe,n_selective_1x_no_severe,pct_selective_1x_no_severe
cell cycle,93307,14402,15.435069180232995,9399,10.07319922406679,7633,8.180522361666327,50616,7590,14.995258416311048
nuclear receptor,61636,26434,42.8872736712311,20671,33.53721850866377,17222,27.941462781491335,37399,16851,45.05735447471857
dna binding,29821,8988,30.13983434492472,6468,21.6894135005533,4851,16.267060125414975,14545,4547,31.26160192506016
cyp,28745,16820,58.514524265089584,13749,47.83092711775961,12110,42.12906592450861,18138,10982,60.54691807255486
cytokine,21932,6357,28.98504468356739,3394,15.475104869596937,2760,12.584351632318073,6576,1344,20.437956204379564
ion channel (panel 2),16968,6026,35.51390853371051,4519,26.632484677039134,3827,22.554219707685053,9401,3374,35.88979895755771
ion channel (panel 1),14216,1950,13.71693866066404,1357,9.545582442318514,1101,7.744794597636466,4970,277,5.573440643863179
cell adhesion molecules,9739,2688,27.600369647807785,1233,12.660437416572544,902,9.261731183899784,2912,598,20.535714285714285
gpcr,6970,2781,39.89956958393113,1525,21.87948350071736,1065,15.27977044476327,3392,1491,43.9563679245283
neurodevelopment,5427,3735,68.82255389718077,2769,51.022664455500276,2035,37.4976967016768,3194,2402,75.2035065748278
cell morphology,5410,1030,19.038817005545287,446,8.243992606284658,332,6.136783733826248,1901,246,12.940557601262494
transporter,4911,2225,45.30645489716962,1494,30.421502748930973,1096,22.317246996538383,2968,1665,56.09838274932615
protease,4826,1711,35.4537919602155,928,19.229175300455864,738,15.292167426440116,1253,430,34.317637669592976
esterase,3148,1484,47.141041931385004,1200,38.11944091486658,1057,33.57687420584498,1574,869,55.209656925031766
zebrafish development,2277,1023,44.927536231884055,676,29.68818620992534,503,22.090469916556874,921,466,50.5971769815418
neuroactivity,2095,1267,60.47732696897375,806,38.472553699284006,580,27.684964200477328,695,545,78.41726618705036
oxidoreductase,2072,975,47.05598455598456,759,36.63127413127413,626,30.212355212355213,1079,611,56.626506024096386
mitochondria,1989,815,40.975364504776266,503,25.289089994972347,347,17.445952740070386,1494,675,45.18072289156626
growth factor,1987,536,26.975339708102666,335,16.859587317564166,251,12.632108706592854,712,199,27.94943820224719
steroid hormone,1958,1329,67.87538304392237,1038,53.013278855975486,806,41.16445352400409,1536,1048,68.22916666666667
ion channel,1895,830,43.79947229551451,561,29.604221635883906,412,21.741424802110817,1033,564,54.59825750242013
kinase,1770,700,39.548022598870055,485,27.401129943502823,391,22.09039548022599,594,267,44.94949494949495
transferase,1349,391,28.98443291326909,264,19.570051890289104,213,15.789473684210526,618,252,40.77669902912621
growth factor receptor,1320,115,8.712121212121213,61,4.621212121212121,49,3.712121212121212,701,65,9.27246790299572
protease inhibitor,925,273,29.513513513513512,124,13.405405405405405,85,9.18918918918919,220,56,25.454545454545453
phosphatase,901,318,35.294117647058826,220,24.417314095449502,177,19.644839067702552,492,209,42.479674796747965
hydrolase,847,379,44.74616292798111,292,34.47461629279811,255,30.10625737898465,384,194,50.520833333333336
lyase,767,179,23.33767926988266,140,18.252933507170795,123,16.03650586701434,317,95,29.968454258675077
transcription factor,625,417,66.72,386,61.76,258,41.28,167,109,65.26946107784431
apoptosis,612,32,5.228758169934641,18,2.9411764705882355,6,0.9803921568627451,207,10,4.830917874396135
deiodinase,604,149,24.66887417218543,111,18.37748344370861,80,13.245033112582782,490,128,26.122448979591837
misc protein,579,239,41.278065630397236,147,25.38860103626943,107,18.48013816925734,114,79,69.29824561403508
metabolite,564,320,56.737588652482266,236,41.843971631205676,180,31.914893617021278,271,157,57.93357933579336
cytokine receptor,381,83,21.78477690288714,61,16.010498687664043,55,14.435695538057743,145,45,31.03448275862069
mutagenicity response,341,61,17.88856304985337,39,11.436950146627566,36,10.557184750733137,140,33,23.571428571428573
ligase,286,55,19.23076923076923,44,15.384615384615385,37,12.937062937062937,107,34,31.77570093457944
immunoglobulin,275,114,41.45454545454545,73,26.545454545454547,57,20.727272727272727,174,57,32.758620689655174
filaments,238,62,26.050420168067227,44,18.48739495798319,35,14.705882352941176,135,45,33.333333333333336
catalase,227,38,16.740088105726873,26,11.45374449339207,21,9.251101321585903,115,27,23.47826086956522
apolipoprotein,210,46,21.904761904761905,35,16.666666666666668,31,14.761904761904763,92,22,23.91304347826087
microrna,191,23,12.041884816753926,12,6.282722513089006,10,5.2356020942408374,75,16,21.333333333333332
dehalogenase,134,14,10.447761194029852,13,9.701492537313433,7,5.223880597014926,105,9,8.571428571428571
membrane protein,94,25,26.595744680851062,17,18.085106382978722,12,12.76595744680851,42,20,47.61904761904762
thyroid,57,11,19.29824561403509,6,10.526315789473685,4,7.017543859649122,8,1,12.5
cardiomyocyte function,42,24,57.142857142857146,18,42.857142857142854,14,33.333333333333336,0,0,0.0
methyltransferase,16,11,68.75,11,68.75,7,43.75,11,10,90.9090909090909
stress response,2,2,100.0,2,100.0,1,50.0,2,2,100.0
enzyme,1,0,0.0,0,0.0,0,0.0,0,0,0.0
